s,zeta(s)
(0.5+14.134725570678711j),0j
(0.5+21.02203941345215j),0j
(0.5+25.01085662841797j),0j
(0.5+30.424875259399414j),0j
(0.5+32.935062408447266j),0j
(0.5+37.586177825927734j),0j
(0.5+40.91872024536133j),0j
(0.5+43.32707214355469j),0j
(0.5+48.005149841308594j),0j
(0.5+49.773834228515625j),0j
(0.5+52.97032165527344j),0j
(0.5+56.44624710083008j),0j
(0.5+59.3470458984375j),0j
(0.5+60.83177947998047j),0j
(0.5+65.11254119873047j),0j
(0.5+67.0798110961914j),0j
(0.5+69.54640197753906j),0j
(0.5+72.06715393066406j),0j
(0.5+75.7046890258789j),0j
(0.5+77.14483642578125j),0j
(0.5+79.33737182617188j),0j
(0.5+82.9103775024414j),0j
(0.5+84.7354965209961j),0j
(0.5+87.42527770996094j),0j
(0.5+88.80911254882812j),0j
(0.5+92.49189758300781j),0j
(0.5+94.6513442993164j),0j
(0.5+95.87063598632812j),0j
(0.5+98.83119201660156j),0j
(0.5+101.3178482055664j),0j
(0.5+103.72554016113281j),0j
(0.5+105.44662475585938j),0j
(0.5+107.16860961914062j),0j
(0.5+111.02953338623047j),0j
(0.5+111.8746566772461j),0j
(0.5+114.32022094726562j),0j
(0.5+116.22667694091797j),0j
(0.5+118.79077911376953j),0j
(0.5+121.37012481689453j),0j
(0.5+122.94683074951172j),0j
(0.5+124.25682067871094j),0j
(0.5+127.51668548583984j),0j
(0.5+129.57870483398438j),0j
(0.5+131.0876922607422j),0j
(0.5+133.49774169921875j),0j
(0.5+134.7565155029297j),0j
(0.5+138.1160430908203j),0j
(0.5+139.7362060546875j),0j
(0.5+141.1237030029297j),0j
(0.5+143.11184692382812j),0j
(0.5+146.0009765625j),0j
(0.5+147.42276000976562j),0j
(0.5+150.05352783203125j),0j
(0.5+150.92526245117188j),0j
(0.5+153.02468872070312j),0j
(0.5+156.1129150390625j),0j
(0.5+157.59759521484375j),0j
(0.5+158.84999084472656j),0j
(0.5+161.18896484375j),0j
(0.5+163.0307159423828j),0j
(0.5+165.5370635986328j),0j
(0.5+167.18443298339844j),0j
(0.5+169.09451293945312j),0j
(0.5+169.91197204589844j),0j
(0.5+173.41152954101562j),0j
(0.5+174.7541961669922j),0j
(0.5+176.44143676757812j),0j
(0.5+178.37741088867188j),0j
(0.5+179.91648864746094j),0j
(0.5+182.2070770263672j),0j
(0.5+184.8744659423828j),0j
(0.5+185.59878540039062j),0j
(0.5+187.2289276123047j),0j
(0.5+189.41615295410156j),0j
(0.5+192.0266571044922j),0j
(0.5+193.07972717285156j),0j
(0.5+195.26539611816406j),0j
(0.5+196.87648010253906j),0j
(0.5+198.0153045654297j),0j
(0.5+201.26475524902344j),0j
(0.5+202.49359130859375j),0j
(0.5+204.18966674804688j),0j
(0.5+205.3946990966797j),0j
(0.5+207.90626525878906j),0j
(0.5+209.57650756835938j),0j
(0.5+211.69085693359375j),0j
(0.5+213.34791564941406j),0j
(0.5+214.5470428466797j),0j
(0.5+216.16954040527344j),0j
(0.5+219.06759643554688j),0j
(0.5+220.7149200439453j),0j
(0.5+221.4307098388672j),0j
(0.5+224.0070037841797j),0j
(0.5+224.9833221435547j),0j
(0.5+227.42144775390625j),0j
(0.5+229.33741760253906j),0j
(0.5+231.25018310546875j),0j
(0.5+231.9872283935547j),0j
(0.5+233.6934051513672j),0j
